model_name,breakpoint_threshold_type,breakpoint_threshold_amount,min_chunk_size,average_score,score0,score1,score2
BAAI/bge-large-en-v1.5,standard_deviation,1.6,100,0.014853846821059937,[0.015873015873015872, 0.0, 0.028688524590163935]
BAAI/bge-large-en-v1.5,standard_deviation,1.7000000000000002,50,0.014007079729001101,[0.016597510373443983, 0.0, 0.025423728813559324]
BAAI/bge-large-en-v1.5,standard_deviation,1.7000000000000002,100,0.014007079729001101,[0.016597510373443983, 0.0, 0.025423728813559324]
BAAI/bge-large-en-v1.5,standard_deviation,1.8,50,0.013216369749198131,[0.013100436681222707, 0.0, 0.02654867256637168]
BAAI/bge-large-en-v1.5,standard_deviation,1.8,100,0.013216369749198131,[0.013100436681222707, 0.0, 0.02654867256637168]
BAAI/bge-large-en-v1.5,standard_deviation,1.9000000000000001,50,0.012179664209490224,[0.009389671361502348, 0.0, 0.027149321266968326]
BAAI/bge-large-en-v1.5,standard_deviation,1.9000000000000001,100,0.012179664209490224,[0.009389671361502348, 0.0, 0.027149321266968326]
BAAI/bge-large-en-v1.5,standard_deviation,2.0,50,0.012712797759526731,[0.010101010101010102, 0.0, 0.028037383177570093]
BAAI/bge-large-en-v1.5,standard_deviation,2.0,100,0.012712797759526731,[0.010101010101010102, 0.0, 0.028037383177570093]
BAAI/bge-large-en-v1.5,standard_deviation,2.1,50,0.009902209089629943,[0.005434782608695652, 0.0, 0.024271844660194174]
BAAI/bge-large-en-v1.5,standard_deviation,2.1,100,0.009902209089629943,[0.005434782608695652, 0.0, 0.024271844660194174]
BAAI/bge-large-en-v1.5,standard_deviation,2.2,50,0.010312088738484678,[0.005555555555555556, 0.0, 0.025380710659898477]
BAAI/bge-large-en-v1.5,standard_deviation,2.2,100,0.010312088738484678,[0.005555555555555556, 0.0, 0.025380710659898477]
BAAI/bge-large-en-v1.5,standard_deviation,2.3000000000000003,50,0.008928571428571428,[0.005952380952380952, 0.0, 0.020833333333333332]
BAAI/bge-large-en-v1.5,standard_deviation,2.3000000000000003,100,0.008928571428571428,[0.005952380952380952, 0.0, 0.020833333333333332]
